,date,name,position,seniority,location,studio,client,project,team_name,engagement
0,2023-01-02,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.04
1,2023-01-03,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.99
2,2023-01-04,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.97
3,2023-01-05,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.75
4,2023-01-06,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.15
5,2023-01-09,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.47
6,2023-01-10,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.2
7,2023-01-11,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.7
8,2023-01-12,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.31
9,2023-01-13,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.04
10,2023-01-16,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.44
11,2023-01-17,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.25
12,2023-01-18,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.69
13,2023-01-19,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.34
14,2023-01-20,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.1
15,2023-01-23,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.77
